OPERADOR;SERVICIO;INDICATIVO;BLOQUE;MODALIDAD;LOCALIDAD
TELECOM ARGENTINA SOCIEDAD ANONIMA;STM;3838;493;MPP;SANTA MARIA (PROV.  CATAMARCA)
TELEFONICA DE ARGENTINA SOCIEDAD ANONIMA;SBT;2658;495;BASICA;UNION
TELEFONICA DE ARGENTINA SOCIEDAD ANONIMA;SBT;2266;43;BASICA;BALCARCE
TELEFONICA DE ARGENTINA SOCIEDAD ANONIMA;SBT;2266;42;BASICA;BALCARCE
TELEFONICA DE ARGENTINA SOCIEDAD ANONIMA;SBT;2932;491;BASICA;BAJO HONDO
TELECOM ARGENTINA SOCIEDAD ANONIMA;STM;3546;479;MPP;SANTA ROSA DE CALAMUCHITA
TELEFONICA DE ARGENTINA SOCIEDAD ANONIMA;SBT;2942;4979;BASICA;BAJADA DEL AGRIO
TELEFONICA MOVILES ARGENTINA SOCIEDAD ANONIMA;STM;2932;450;MPP;PUNTA ALTA
TELEFONICA DE ARGENTINA SOCIEDAD ANONIMA;SBT;2314;491;BASICA;URDAMPILLETA
TELECOM ARGENTINA SOCIEDAD ANONIMA;STM;385;4907;MPP;SANTIAGO DEL ESTERO
TELECOM ARGENTINA SOCIEDAD ANONIMA;STM;3756;450;MPP;SANTO TOME
TELECOM ARGENTINA SOCIEDAD ANONIMA;STM;3856;495;MPP;SUMAMPA
TELEFONICA DE ARGENTINA SOCIEDAD ANONIMA;SBT;2963;4901;BASICA;BAJO CARACOLES
TELECOM ARGENTINA SOCIEDAD ANONIMA;STM;3493;450;MPP;SUNCHALES
TELECOM ARGENTINA SOCIEDAD ANONIMA;STM;3855;495;MPP;SUNCHO CORRAL
TELECOM ARGENTINA SOCIEDAD ANONIMA;STM;342;464;MPP;SANTA FE
TELECOM ARGENTINA SOCIEDAD ANONIMA;STM;3460;450;MPP;SANTA TERESA (PROV.  SANTA FE)
TELEFONICA DE ARGENTINA SOCIEDAD ANONIMA;SBT;2948;4979;BASICA;TRICAO MALAL
TELECOM ARGENTINA SOCIEDAD ANONIMA;STM;3405;450;MPP;SAN JAVIER (PROV.  SANTA FE)
TELECOM ARGENTINA SOCIEDAD ANONIMA;STM;3843;450;MPP;QUIMILI
TELECOM ARGENTINA SOCIEDAD ANONIMA;STM;3492;460;MPP;RAFAELA
TELEFONICA DE ARGENTINA SOCIEDAD ANONIMA;SBT;2314;42;BASICA;BOLIVAR
TELECOM ARGENTINA SOCIEDAD ANONIMA;STM;3407;460;MPP;RAMALLO
TELEFONICA DE ARGENTINA SOCIEDAD ANONIMA;SBT;2945;474;BASICA;TREVELIN
TELEFONICA DE ARGENTINA SOCIEDAD ANONIMA;SBT;2625;48;BASICA;BOWEN
TELECOM ARGENTINA SOCIEDAD ANONIMA;STM;3861;450;MPP;RAPELLI
TELECOM ARGENTINA SOCIEDAD ANONIMA;STM;3743;492;MPP;PUERTO RICO
TELECOM ARGENTINA SOCIEDAD ANONIMA;STM;3482;447;MPP;RECONQUISTA
