Year,Quarter,Province,Access per 100 households,Access per 100 households [Proyected 2%],Access per 100 households [Previous Quarter],Incremental Percentage
2018,4,Córdoba,65.09,66.39,64.24,1.32
2018,4,Corrientes,34.57,35.26,34.25,0.93
2018,4,Entre Ríos,54.37,55.46,50.22,8.26
2018,4,Formosa,29.74,30.33,29.58,0.54
2018,4,Jujuy,46.53,47.46,23.26,100.04
2018,4,La Pampa,73.49,74.96,71.75,2.43
2018,4,La Rioja,50.35,51.36,50.73,-0.75
2018,4,Mendoza,37.76,38.52,37.99,-0.61
2018,4,Misiones,34.45,35.14,32.1,7.32
2018,4,Neuquén,59.07,60.25,60.49,-2.35
2018,4,Río Negro,51.86,52.9,50.54,2.61
2018,4,Salta,39.8,40.6,39.43,0.94
2018,4,San Juan,31.9,32.54,33.05,-3.48
2018,4,San Luis,67.55,68.9,52.35,29.04
2018,4,Santa Cruz,23.69,24.16,32.73,-27.62
2018,4,Santa Fe,65.59,66.9,63.41,3.44
2018,4,Santiago Del Estero,37.4,38.15,36.25,3.17
2018,4,Tierra Del Fuego,93.59,95.46,92.77,0.88
2018,4,Tucumán,41.76,42.6,41.68,0.19
2019,1,Buenos Aires,66.24,67.56,62.28,6.36
2019,1,Catamarca,32.19,32.83,34.99,-8.0
2019,1,Chaco,32.64,33.29,65.2,-49.94
2019,1,Chubut,43.0,43.86,41.18,4.42
2019,1,Córdoba,65.52,66.83,66.24,-1.09
2019,1,Corrientes,35.13,35.83,32.19,9.13
2019,1,Entre Ríos,56.79,57.93,32.64,73.99
2019,1,Formosa,29.68,30.27,43.0,-30.98
2019,1,Jujuy,46.41,47.34,65.52,-29.17
2019,1,La Pampa,76.35,77.88,35.13,117.34
2019,1,La Rioja,50.18,51.18,56.79,-11.64
2019,1,Mendoza,37.66,38.41,29.68,26.89
2019,1,Misiones,36.26,36.99,46.41,-21.87
2019,1,Neuquén,58.88,60.06,76.35,-22.88
2019,1,Río Negro,53.57,54.64,50.18,6.76
2019,1,Salta,40.1,40.9,37.66,6.48
2019,1,San Juan,31.83,32.47,36.26,-12.22
2019,1,San Luis,67.34,68.69,58.88,14.37
2019,1,Santa Cruz,23.67,24.14,53.57,-55.81
2019,1,Santa Fe,66.97,68.31,40.1,67.01
2019,1,Santiago Del Estero,37.52,38.27,31.83,17.88
2019,1,Tierra Del Fuego,93.38,95.25,67.34,38.67
2019,1,Tucumán,41.63,42.46,23.67,75.88
2019,2,Buenos Aires,67.85,69.21,66.24,2.43
2019,2,Catamarca,32.13,32.77,32.19,-0.19
2019,2,Chaco,34.14,34.82,32.64,4.6
2019,2,Chubut,46.99,47.93,43.0,9.28
2019,2,Córdoba,68.07,69.43,65.52,3.89
2019,2,Corrientes,38.16,38.92,35.13,8.63
2019,2,Entre Ríos,57.48,58.63,56.79,1.22
2019,2,Formosa,30.42,31.03,29.68,2.49
2019,2,Jujuy,44.51,45.4,46.41,-4.09
2019,2,La Pampa,77.08,78.62,76.35,0.96
2019,2,La Rioja,48.7,49.67,50.18,-2.95
2019,2,Mendoza,40.75,41.56,37.66,8.2
2019,2,Misiones,39.15,39.93,36.26,7.97
2019,2,Neuquén,63.08,64.34,58.88,7.13
2019,2,Río Negro,61.09,62.31,53.57,14.04
2019,2,Salta,41.89,42.73,40.1,4.46
2019,2,San Juan,35.6,36.31,31.83,11.84
